Date,Open,High,Low,Close,Adj Close,Volume
24-11-2015,1190.030029,1196.219971,1182.75,1183.969971,1060.985107,998640
26-11-2015,1188.949951,1191.199951,1168.930054,1172.780029,1050.95752,2915292
27-11-2015,1174,1179.719971,1166.25,1176.680054,1054.452271,1737206
30-11-2015,1182.5,1195.619995,1175.069946,1186.780029,1063.503174,4100048
01-12-2015,1181.449951,1189.030029,1178.530029,1180.949951,1058.278809,1721994
02-12-2015,1189,1189.050049,1173.25,1182.599976,1059.757446,1640296
03-12-2015,1180,1186.5,1173.5,1175.380005,1053.287354,2283358
04-12-2015,1170,1173.650024,1160.550049,1164.199951,1043.268799,1246092
07-12-2015,1166.099976,1171.949951,1157.619995,1159.900024,1039.415527,1382604
08-12-2015,1159.699951,1174.5,1158.650024,1164.5,1043.537354,1139964
09-12-2015,1168.949951,1186.400024,1160,1183.819946,1060.850708,5282806
10-12-2015,1184.5,1195.599976,1176,1192.280029,1068.432007,1723988
11-12-2015,1191.5,1195.969971,1181.619995,1193,1069.077148,1652378
14-12-2015,1167.599976,1193.5,1165.300049,1189.219971,1065.689575,2718532
15-12-2015,1189.219971,1192.5,1181.530029,1187.930054,1064.533569,1135868
16-12-2015,1192,1207.25,1192,1204.199951,1079.114014,1435934
17-12-2015,1207.5,1222.5,1196.680054,1219.880005,1093.165161,1618844
18-12-2015,1210,1217.099976,1200.319946,1208.400024,1082.877686,3024970
21-12-2015,1209.969971,1225,1203.430054,1223.199951,1096.139771,1610104
22-12-2015,1220,1220,1200,1202.530029,1077.61731,1560858
23-12-2015,1207.5,1217.5,1205.280029,1212.900024,1086.909912,849834
24-12-2015,1210.5,1219.099976,1202,1217.119995,1090.691528,843160
28-12-2015,1214,1233.199951,1210.099976,1231.349976,1103.443359,3704198
29-12-2015,1229.180054,1232.650024,1222.880005,1227.900024,1100.352051,1708524
30-12-2015,1226.530029,1229.5,1206.150024,1209.150024,1083.549683,1605762
31-12-2015,1207.880005,1224.25,1203.75,1218.430054,1091.865601,1240318
01-01-2016,1219.5,1219.5,1206.119995,1208.199951,1082.697998,712262
04-01-2016,1205.069946,1207,1183.030029,1184.800049,1061.729004,1870184
05-01-2016,1192.5,1193.300049,1170.5,1174.469971,1052.471924,2678020
06-01-2016,1175.099976,1193.069946,1175.099976,1190.800049,1067.105591,2653228
07-01-2016,1185,1191.449951,1180,1185.619995,1062.463379,3199580
08-01-2016,1192.5,1203.680054,1186.25,1198.800049,1074.274902,1907544
11-01-2016,1191.25,1192,1174.430054,1181.180054,1058.485107,2930228
12-01-2016,1181.349976,1182.5,1150.800049,1163.530029,1042.668213,3482594
13-01-2016,1158.5,1163.5,1127.550049,1139.599976,1021.223999,4746092
14-01-2016,1136.5,1149.449951,1125,1139.400024,1021.044983,2742052
15-01-2016,1144.430054,1145.849976,1127.5,1130.550049,1013.114136,3269408
18-01-2016,1131,1145.949951,1130,1138.819946,1020.52533,2213922
19-01-2016,1138.5,1150,1134.150024,1139.650024,1021.268921,967910
20-01-2016,1136.900024,1142.5,1121.5,1140.050049,1021.627625,1615954
21-01-2016,1142.5,1144.949951,1122.880005,1127.25,1015.053894,2675536
22-01-2016,1136.5,1151.030029,1130,1147.880005,1033.630615,1343178
25-01-2016,1150.949951,1169.5,1145.75,1152.319946,1037.628662,1397560
27-01-2016,1151,1164.969971,1140.949951,1159.880005,1044.436157,1626986
28-01-2016,1157.75,1174.449951,1154.030029,1165.599976,1049.586914,3106660
29-01-2016,1179.349976,1200,1167.530029,1195.650024,1076.646118,2235744
01-02-2016,1195.550049,1206.469971,1179.5,1201.349976,1081.778564,1495274
02-02-2016,1204.5,1216.5,1189.849976,1199.050049,1079.70752,1475588
03-02-2016,1193.75,1214.949951,1180.150024,1208.150024,1087.901733,1308692
04-02-2016,1210.949951,1220,1201,1210.030029,1089.594727,1250046
05-02-2016,1204.050049,1219.969971,1204.050049,1210.969971,1090.44104,1402996
08-02-2016,1200,1206.030029,1173.5,1181.469971,1063.876953,1063658
09-02-2016,1166.800049,1166.800049,1127.800049,1140.699951,1027.164917,2489610
10-02-2016,1137.5,1144.949951,1129.050049,1134.400024,1021.492126,1890732
11-02-2016,1140,1144.5,1085.819946,1098.969971,989.588562,1962408
12-02-2016,1100,1121.699951,1082,1113.300049,1002.492371,2172568
15-02-2016,1125,1153.430054,1120,1134.569946,1021.645264,2479712
16-02-2016,1133,1141,1121.5,1132.780029,1020.033386,1588702
17-02-2016,1132.5,1139.819946,1123.199951,1137.780029,1024.535767,1585178
18-02-2016,1142.5,1159.880005,1139,1157.930054,1042.68042,1529140
19-02-2016,1153.680054,1163.5,1152.719971,1159.819946,1044.382202,879012
22-02-2016,1160.119995,1171.5,1152.5,1157.949951,1042.69812,1324884
23-02-2016,1155.119995,1159.949951,1128.380005,1132,1019.33136,1306852
24-02-2016,1131.219971,1131.219971,1100.599976,1105.469971,995.441589,1659328
25-02-2016,1109.900024,1114,1092.819946,1106.430054,996.30603,1830556
26-02-2016,1114.849976,1128.449951,1099.800049,1105.25,995.243652,1537536
29-02-2016,1118.5,1118.5,1057.5,1088.400024,980.07074,2191718
01-03-2016,1096.5,1142.550049,1081,1138.319946,1025.022095,1999760
02-03-2016,1152.5,1165,1128.119995,1159.430054,1044.031128,1527486
03-03-2016,1168,1195.5,1150.5,1186.569946,1068.469727,2648284
04-03-2016,1190,1190,1174.780029,1178.780029,1061.4552,1512966
08-03-2016,1171.050049,1183.5,1152.099976,1177.150024,1059.987427,1268152
09-03-2016,1170.5,1184.699951,1147.569946,1178.619995,1061.310913,2017784
10-03-2016,1178.030029,1179.930054,1157.469971,1174.150024,1057.285645,1661666
11-03-2016,1170,1195.430054,1167.5,1182.619995,1064.912842,1530528
14-03-2016,1181,1199,1170,1177.5,1060.302368,1636742
15-03-2016,1174.530029,1181.75,1160.050049,1164.949951,1049.001465,1623356
16-03-2016,1157.5,1166,1153.449951,1163.530029,1047.722656,1918246
17-03-2016,1167,1180.900024,1166,1176.030029,1058.978882,2221088
18-03-2016,1180,1215,1180,1212.930054,1092.206177,3204070
21-03-2016,1213,1227.469971,1210,1223.119995,1101.381836,2336982
22-03-2016,1221,1242.5,1218.25,1236.550049,1113.47522,1951984
23-03-2016,1243.949951,1243.949951,1228.650024,1236.900024,1113.790405,2278434
28-03-2016,1245.5,1258.569946,1230.780029,1236.699951,1113.610229,3320882
29-03-2016,1239,1243.469971,1227.5,1234.699951,1111.80896,1838796
30-03-2016,1235.449951,1252.5,1230,1244.75,1120.858887,2136504
31-03-2016,1239.150024,1275,1236.069946,1260.150024,1134.726196,4363964
01-04-2016,1252.5,1260.430054,1217.050049,1226.949951,1104.830444,3041400
04-04-2016,1228,1244,1223.5,1235.619995,1112.637817,1752352
05-04-2016,1235.400024,1242.449951,1221.030029,1231.380005,1108.819946,1491794
06-04-2016,1235,1244.5,1229.680054,1240.949951,1117.436768,1763150
07-04-2016,1240,1242.349976,1228.5,1235.400024,1112.439697,2390942
08-04-2016,1233,1236.849976,1213.5,1216.030029,1094.997559,1399500
11-04-2016,1216.5,1258.5,1206.5,1253.319946,1128.576172,2400648
12-04-2016,1249,1262.5,1244.050049,1259.069946,1133.75354,1303628
13-04-2016,1265,1272.5,1256.25,1263.099976,1137.382568,1601468
18-04-2016,1226.5,1276.75,1220,1259.880005,1134.483032,7121504
20-04-2016,1267.449951,1267.449951,1220,1225.180054,1103.236694,6405024
21-04-2016,1225.5,1233.699951,1206.099976,1212.199951,1091.548706,2525724
